,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
180,Bermuda,18791,,159,,18627,,5,,303379,2567,1026742,16576664,61939,Africa
190,Marshall Islands,15590,,17,,15528,,45,,259587,283,,,60057,Africa
195,Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,56973,Africa
210,Saint Kitts and Nevis,6596,,46,,6543,,7,,122441,854,126921,2356017,53871,Africa
164,Faeroe Islands,34658,,28,,,,,5,703959,569,778000,15802409,49233,Africa
198,Sint Maarten,11016,,91,,10905,,20,,250557,2070,62056,1411454,43966,North America
187,Monaco,16104,,67,,15992,,45,4,404796,1684,78646,1976875,39783,Australia/Oceania
211,Turks and Caicos,6551,,38,,6491,,22,4,164842,956,611527,15387811,39741,North America
193,Saint Martin,12247,,63,,1399,,10785,7,308256,1586,112382,2828643,39730,North America
177,Liechtenstein,21374,,89,,21263,,22,,556803,2318,112457,2929559,38387,Africa
174,San Marino,23427,,122,,23276,,29,4,687311,3579,157634,4624732,34085,Australia/Oceania
178,Gibraltar,20414,,111,,16579,,3724,,605685,3293,534283,15852213,33704,North America
208,British Virgin Islands,7305,,64,,,,,,238757,2092,107339,3508269,30596,Australia/Oceania
197,Caribbean Netherlands,11666,,38,,10476,,1152,,437798,1426,30126,1130559,26647,Australia/Oceania
213,Palau,5988,,9,,5976,,3,,328416,494,68820,3774475,18233,North America
209,Cook Islands,7023,,2,,7012,,9,,399693,114,19690,1120596,17571,Asia
217,Anguilla,3904,,12,,3879,,13,4,256336,788,51382,3373736,15230,North America
221,Tuvalu,2805,, ,,,,2805,,232471,,,,12066,Australia/Oceania
220,Wallis and Futuna,3427,,7,,438,,2982,,312056,637,20508,1867419,10982,Australia/Oceania
216,Nauru,4815,,1,,4609,,205,,441622,92,20509,1881042,10903,Africa
214,St. Barth,5431,,6,,,,,,546104,603,78646,7908095,9945,South America
222,Saint Helena,2166,, ,,2,,2164,,354211,,,,6115,North America
219,Saint Pierre Miquelon,3452,,2,,2449,,1001,1,599410,347,25400,4410488,5759,Australia/Oceania
224,Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,4965,
223,Falkland Islands,1930,, ,,1930,,0,,545352,,8632,2439107,3539,Europe
225,Niue,749,, ,,747,,2,,461776,,,,1622,Africa
230,Tokelau,5,, ,,,,5,,3628,,,,1378,
227,Vatican City,29,, ,,29,,0,,36295,,,,799,Australia/Oceania
